date,department,disease_category,specific_disease,patient_count,occupied_beds,total_beds,occupancy_rate,severity,avg_length_of_stay,icu_required,emergency_admission,discharges,ed_wait_time_minutes,labour_staffing,admission_discharge_ratio,bed_utilization,acuity_index,staff_to_patient_ratio,readmission_risk,complexity_score,recovery_rate,satisfaction_score,cost_per_bed,mortality_rate,days_since_turnover,equipment_availability,infection_rate,readmission_count,transfer_count,day_of_week,month,week_number,is_weekend,is_holiday
2025-01-02,Oncology,Cancer,Radiation Therapy,18,22,25,0.88,MEDIUM,7.509688254160963,3,0,9,,3.829622400292704,1.8,0.88,0.4,0.201559073699616,0.6460101813468089,43.253050133834954,56.746949866165046,56.95990881352607,2640.0,0.01,6,0.7872411976218265,0.0683169975879716,1,3,3,1,1,0,0
2025-01-02,Orthopedics,Musculoskeletal,Spine Surgery,25,30,35,0.8571428571428571,MEDIUM,6.066294715295087,4,1,12,,6.326000195346185,2.0,0.8571428571428571,0.4,0.2433076998210071,0.6204412424532842,39.54200165156368,60.45799834843632,66.94634786513998,2160.0,0.01,6,0.919072459774418,0.04669584075182767,2,4,3,1,1,0,0
2025-01-03,Cardiology,Cardiovascular,Arrhythmia Management,24,29,30,0.9666666666666667,MEDIUM,6.841189901906194,4,1,14,,4.934799858077998,1.6666666666666667,0.9666666666666667,0.4,0.1973919943231199,0.784,50.92316929266152,49.07683070733848,58.714122998665914,3000.0,0.01,3,0.9450798182673087,0.06298602754428273,2,4,4,1,1,0,0
2025-01-03,Emergency,Trauma,ED High Acuity Mix,10,12,15,0.8,MEDIUM,8.144793284742324,1,8,5,110.71005402109921,2.595877709222485,3.0,0.8,0.4,0.23598888265658954,0.5503366353917649,54.63228179310161,45.36771820689839,43.30199397943149,1800.0,0.01,7,0.9538593032791051,0.05770779739670043,0,0,4,1,1,0,0
2025-01-03,General Ward,General,Respiratory & Med-Surg,79,94,100,0.94,LOW,3.8591014455326498,4,3,45,,21.413525305808243,1.7826086956521738,0.94,0.3,0.267669066322603,0.7485030222544886,23.282381179662835,76.71761882033717,48.0185300627128,1080.0,0.002,5,0.9182735171952596,0.09521298946834701,8,14,4,1,1,0,0
2025-01-03,ICU,Respiratory,Critical Care Mix,15,18,20,0.9,MEDIUM,6.615342422876857,2,0,6,,3.4287126288401173,2.142857142857143,0.9,0.4,0.21429453930250733,0.681475415993229,50.498256825438204,49.501743174561796,59.309943969599566,4200.0,0.01,3,0.9559064139912355,0.05591697689306821,1,2,4,1,1,0,0
2025-01-03,Neurology,Neurological,Stroke & Seizure,21,25,28,0.8928571428571429,MEDIUM,7.800844248464666,3,1,12,,5.356556328729871,1.6923076923076923,0.8928571428571429,0.4,0.24347983312408505,0.6886041230684736,40.56735977107181,59.43264022892819,52.78786810125922,2400.0,0.01,6,0.8814109625253371,0.0690658506094214,2,3,4,1,1,0,0
2025-01-03,Oncology,Cancer,Radiation Therapy,17,21,25,0.84,HIGH,8.21742359925477,8,0,8,,4.68326885843547,1.8888888888888888,0.84,0.65,0.26018160324641504,0.5832286446676306,73.8663877222532,26.133612277746806,63.977657680799354,3960.0,0.03,3,0.9623700716288319,0.06855339987460843,1,3,4,1,1,0,0
2025-01-03,Orthopedics,Musculoskeletal,Fractures & Replacements,25,30,35,0.8571428571428571,CRITICAL,8.036545507185782,24,3,11,,4.412150645839739,2.3333333333333335,0.8571428571428571,1.05,0.16969810176306688,0.6322824634603869,90.98411167493676,9.015888325063244,59.9685963475094,4500.0,0.08,1,0.872275136901929,0.05095903178707924,2,4,4,1,1,0,0
2025-01-04,Cardiology,Cardiovascular,ACS & Heart Failure,22,27,30,0.9,MEDIUM,7.341176789552351,4,1,10,,6.29305506011871,2.090909090909091,0.9,0.4,0.27361108957037866,0.6757607299970565,46.665283125217435,53.334716874782565,51.11107062791967,3000.0,0.01,2,0.9457523843153024,0.1,2,4,5,1,1,1,0
2025-01-04,Emergency,Trauma,ED High Acuity Mix,11,14,15,0.9333333333333333,MEDIUM,5.830227571899468,2,10,6,176.80773870803904,2.5737527990586755,3.0,0.9333333333333333,0.4,0.2144793999215563,0.7186666666666667,53.15037469300504,46.84962530699496,49.21468736151614,1800.0,0.01,2,0.9229104359223,0.05757029702169377,1,2,5,1,1,1,0
2025-01-04,General Ward,General,Infectious Diseases,66,78,100,0.78,MEDIUM,5.985306403843853,11,3,32,,19.220637325827347,2.090909090909091,0.78,0.4,0.28687518396757233,0.5180000404750821,60.610780985063165,39.389219014936835,63.465355379268395,1440.0,0.01,7,0.9243282907261278,0.0533135999841148,6,0,5,1,1,1,0
2025-01-04,ICU,Respiratory,Critical Care Mix,15,18,20,0.9,HIGH,4.4334978756689525,7,0,7,,3.826476404665276,1.875,0.9,0.65,0.23915477529157975,0.6947310995731388,77.53287650836266,22.467123491637338,60.83581337330943,6300.0,0.03,6,0.9370795402974359,0.061790784314762565,1,2,5,1,1,1,0
2025-01-04,Neurology,Neurological,Stroke & Seizure,19,23,28,0.8214285714285714,HIGH,5.417567773727635,9,0,9,,4.5169112632792,1.9,0.8214285714285714,0.65,0.22584556316395998,0.5753019856849818,71.0373963078365,28.962603692163498,62.470048740897624,3600.0,0.03,5,1.0,0.05561651595227215,1,0,5,1,1,1,0
2025-01-04,Oncology,Cancer,Chemo & Complications,18,22,25,0.88,HIGH,10.271131280361198,8,0,9,,4.650090662854302,1.8,0.88,0.65,0.24474161383443693,0.6580199984455197,75.34175625551914,24.658243744480856,59.674622556988886,3960.0,0.03,7,0.8599934131134919,0.07770963766756023,1,3,5,1,1,1,0
2025-01-04,Orthopedics,Musculoskeletal,Spine Surgery,25,30,35,0.8571428571428571,MEDIUM,6.711361052106983,4,1,9,,6.293723946616722,2.6,0.8571428571428571,0.4,0.2420663056391047,0.6159746172216449,46.42348145370016,53.57651854629984,64.15069946246733,2160.0,0.01,5,0.9805199316568319,0.06160586355059285,2,4,5,1,1,1,0
2025-01-05,Cardiology,Cardiovascular,ACS & Heart Failure,23,28,30,0.9333333333333333,MEDIUM,7.623658515446485,4,1,14,,5.904434233841592,1.6,0.9333333333333333,0.4,0.24601809307673297,0.7377106126440046,48.64518868916131,51.35481131083869,57.99644984715239,3000.0,0.01,1,0.9494158603242289,0.0566620764934602,2,4,6,1,1,1,0
2025-01-05,Emergency,Trauma,ED High Acuity Mix,11,13,15,0.8666666666666667,MEDIUM,6.696110865929137,1,9,7,172.82449205941612,2.476524503678748,2.5,0.8666666666666667,0.4,0.206377041973229,0.6712571238704459,52.31051737131635,47.68948262868365,44.68828600867337,1800.0,0.01,1,0.8899891561420603,0.06920821248700518,1,1,6,1,1,1,0
2025-01-05,General Ward,General,Respiratory & Med-Surg,68,81,100,0.81,LOW,3.3731421304618454,4,3,28,,15.79217382990061,2.4482758620689653,0.81,0.3,0.2288720844913132,0.555026276070414,46.26992563043803,53.73007436956197,61.085462619109705,1080.0,0.002,1,0.9044866621703272,0.056697849686814655,6,0,6,1,1,1,0
2025-01-05,ICU,Respiratory,Critical Care Mix,14,17,20,0.85,CRITICAL,9.841485387831817,13,2,7,,3.723139400113386,2.0,0.85,1.05,0.24820929334089242,0.6146752346128646,92.59375933088246,7.406240669117537,47.96888041945713,8750.0,0.08,5,1.0,0.049603960121312574,1,2,6,1,1,1,0
2025-01-05,Neurology,Neurological,Movement Disorders,22,27,28,0.9642857142857143,HIGH,11.221640618785004,10,1,12,,5.238480150146659,1.7692307692307692,0.9642857142857143,0.65,0.2277600065281156,0.7630530901682528,72.26138258520335,27.73861741479665,61.31231733793103,3600.0,0.03,5,0.9098903673783053,0.07620270627305502,2,4,6,1,1,1,0
2025-01-05,Oncology,Cancer,Chemo & Complications,18,22,25,0.88,MEDIUM,5.682443576979363,3,0,8,,4.627205188612857,2.0,0.88,0.4,0.24353711519015037,0.6590482724848351,47.84987307075042,52.15012692924958,60.65249229030154,2640.0,0.01,2,0.8953499532670584,0.054517723766451656,1,3,6,1,1,1,0
2025-01-05,Orthopedics,Musculoskeletal,Spine Surgery,27,32,35,0.9142857142857143,MEDIUM,9.426920128603632,4,1,13,,6.924986020433543,2.0,0.9142857142857143,0.4,0.24732092930119798,0.7247888301858014,49.0805413113599,50.9194586886401,63.273489070859206,2160.0,0.01,1,0.9514814420961807,0.04480944326350989,3,4,6,1,1,1,0
2025-01-06,Cardiology,Cardiovascular,ACS & Heart Failure,23,28,30,0.9333333333333333,HIGH,8.120465842978184,11,1,11,,4.912072071253609,2.0,0.9333333333333333,0.65,0.20466966963556701,0.726180812031887,72.64480847190839,27.35519152809161,60.21640241639113,4500.0,0.03,5,0.9422753450640693,0.052742051615635416,2,4,0,1,2,0,0
2025-01-06,Emergency,Trauma,ED High Acuity Mix,11,13,15,0.8666666666666667,HIGH,6.6017068438161655,5,9,4,174.38520913791498,3.2384861334483257,4.0,0.8666666666666667,0.65,0.2698738444540271,0.6725581323145244,70.87251401603744,29.127485983962558,42.05057627406618,2700.0,0.03,4,0.9644492147138577,0.07081687862643088,1,1,0,1,2,0,0
2025-01-06,General Ward,General,Respiratory & Med-Surg,75,89,100,0.89,CRITICAL,8.082222363497584,71,11,34,,20.51724963481992,2.4571428571428573,0.89,1.05,0.26996381098447264,0.6675413954217881,105.94901466608836,0.0,36.157404695309886,3000.0,0.08,2,0.9121138020872949,0.05095218013960656,8,13,0,1,2,0,0
2025-01-06,ICU,Respiratory,Critical Care Mix,16,19,20,0.95,MEDIUM,6.199692656403395,2,0,10,,3.585522102721113,1.4545454545454546,0.95,0.4,0.21091306486594782,0.784,49.92859726147453,50.07140273852547,61.409537209013976,4200.0,0.01,4,0.8797631657462253,0.08058110873500068,1,2,0,1,2,0,0
2025-01-06,Neurology,Neurological,Movement Disorders,20,24,28,0.8571428571428571,MEDIUM,2.8112099568821773,3,1,7,,5.488480837069258,2.625,0.8571428571428571,0.4,0.26135623033663136,0.6282675698846979,51.12046240905208,48.87953759094792,60.47147004713743,2400.0,0.01,5,0.9621787011390173,0.05331551510952917,2,3,0,1,2,0,0
2025-01-06,Oncology,Cancer,Chemo & Complications,19,23,25,0.92,HIGH,7.625550087302372,9,0,11,,4.2574762798912005,1.5833333333333333,0.92,0.65,0.21287381399456,0.7154148849461407,76.55453782799002,23.445462172009982,68.55007358616511,3960.0,0.03,3,0.880414001067221,0.05534700020195218,2,3,0,1,2,0,0
2025-01-06,Orthopedics,Musculoskeletal,Spine Surgery,22,27,35,0.7714285714285715,MEDIUM,5.866734237573505,4,1,13,,5.740645845977275,1.6428571428571428,0.7714285714285715,0.4,0.24959329765118585,0.4922690901805136,51.613592801690444,48.386407198309556,58.20073786740386,2160.0,0.01,1,0.8647889105726434,0.06677348695006227,2,0,0,1,2,0,0
2025-01-07,Cardiology,Cardiovascular,ACS & Heart Failure,23,28,30,0.9333333333333333,HIGH,4.811144682411266,11,1,11,,5.787194234991696,2.0,0.9333333333333333,0.65,0.241133093124654,0.7390872637479429,75.2349029688237,24.765097031176296,63.34022460026395,4500.0,0.03,3,0.960642823211905,0.06507110620574491,2,4,1,1,2,0,0
2025-01-07,Emergency,Trauma,ED High Acuity Mix,11,14,15,0.9333333333333333,LOW,2.269684689575822,0,7,6,150.56275582926844,2.904522920777934,2.5714285714285716,0.9333333333333333,0.3,0.2420435767314945,0.7177450592090443,37.635506299462385,62.364493700537615,43.346205525005686,1350.0,0.002,3,0.9918091734038883,0.07169351470676347,1,2,1,1,2,0,0
2025-01-07,General Ward,General,Respiratory & Med-Surg,83,98,100,0.98,LOW,2.2966175606448456,4,4,43,,20.352768279921044,1.9772727272727273,0.98,0.3,0.24229486047525053,0.8134,29.836526259529535,70.16347374047047,46.65972546922129,1080.0,0.002,3,0.8898871898558912,0.06777088693448545,9,14,1,1,2,0,0
2025-01-07,ICU,Respiratory,Critical Care Mix,16,19,20,0.95,CRITICAL,5.97467168750996,15,2,8,,4.655458968972628,2.0,0.95,1.05,0.27385052758662515,0.784,99.75211919093024,0.24788080906975551,53.51548172168798,8750.0,0.08,4,0.8876850250349626,0.0649644504315309,1,2,1,1,2,0,0
2025-01-07,Neurology,Neurological,Stroke & Seizure,22,27,28,0.9642857142857143,MEDIUM,8.087636730274381,4,1,9,,4.838627728249023,2.3,0.9642857142857143,0.4,0.2103751186195227,0.7699999999999999,39.803839111199494,60.196160888800506,60.200845010677575,2400.0,0.01,1,1.0,0.0641328550395725,2,4,1,1,2,0,0
2025-01-07,Oncology,Cancer,Radiation Therapy,17,20,25,0.8,MEDIUM,6.680443447567848,3,0,8,,4.29698847600461,1.8888888888888888,0.8,0.4,0.2387215820002561,0.545567068446444,44.376789540810655,55.623210459189345,63.94572991835469,2640.0,0.01,6,0.8986983830717791,0.06126384030320102,1,0,1,1,2,0,0
2025-01-07,Orthopedics,Musculoskeletal,Spine Surgery,28,34,35,0.9714285714285714,CRITICAL,15.651869812204968,27,4,18,,6.689210594143355,1.6842105263157894,0.9714285714285714,1.05,0.23066243428080535,0.7839999999999999,99.85785475477178,0.14214524522822103,39.35605995157812,4500.0,0.08,5,0.8872457358087962,0.0838904517388448,3,5,1,1,2,0,0
2025-01-08,Cardiology,Cardiovascular,Arrhythmia Management,23,28,30,0.9333333333333333,MEDIUM,6.5632011226128935,4,1,11,,5.731935965324485,2.0,0.9333333333333333,0.4,0.23883066522185356,0.7170701787301983,48.1047117690884,51.8952882309116,53.995925693346365,3000.0,0.01,1,0.9625677132300255,0.060561809213570454,2,4,2,1,2,0,0
2025-01-08,Emergency,Trauma,ED High Acuity Mix,11,13,15,0.8666666666666667,MEDIUM,5.745143771501378,1,10,5,157.43576546037042,2.6401391955151965,3.5,0.8666666666666667,0.4,0.22001159962626637,0.6503597747622685,39.27071620075029,60.72928379924971,44.82762148771379,1800.0,0.01,6,0.9228737001512148,0.04151468701520124,1,1,2,1,2,0,0
2025-01-08,General Ward,General,Infectious Diseases,76,90,100,0.9,MEDIUM,8.87305727444567,13,3,34,,15.679311900832957,2.257142857142857,0.9,0.4,0.20362742728354488,0.6914239354197217,42.92398740241242,57.07601259758758,58.781638956980494,1440.0,0.01,3,0.9213845465808107,0.06676207158930061,8,13,2,1,2,0,0
2025-01-08,ICU,Respiratory,Critical Care Mix,16,19,20,0.95,CRITICAL,11.41649561524212,15,2,7,,3.6867334647748202,2.25,0.95,1.05,0.21686667439851884,0.7772890033585194,89.70393239055524,10.296067609444762,56.25437942967116,8750.0,0.08,5,0.967757116025062,0.06934104310887132,1,2,2,1,2,0,0
2025-01-08,Neurology,Neurological,Stroke & Seizure,19,23,28,0.8214285714285714,MEDIUM,5.518439980830476,3,0,11,,5.130246990777266,1.5833333333333333,0.8214285714285714,0.4,0.2565123495388633,0.5712832262174102,48.509473653235176,51.490526346764824,74.02639007256391,2400.0,0.01,4,1.0,0.07223988043762952,1,0,2,1,2,0,0
2025-01-08,Oncology,Cancer,Radiation Therapy,17,21,25,0.84,MEDIUM,7.369256602324781,3,0,8,,3.332498574593444,1.8888888888888888,0.84,0.4,0.18513880969963578,0.5887440436028493,50.960451903163246,49.039548096836754,70.66956233016731,2640.0,0.01,2,0.9625701046189414,0.05341064474812644,1,3,2,1,2,0,0
2025-01-08,Orthopedics,Musculoskeletal,Fractures & Replacements,26,31,35,0.8857142857142857,HIGH,9.937246312608842,12,1,13,,5.692019086964431,1.9285714285714286,0.8857142857142857,0.65,0.2108155217394234,0.6678685455776933,70.64376559442536,29.35623440557464,58.88517663641712,3240.0,0.03,7,0.9106547438719796,0.06447478179399398,2,4,2,1,2,0,0
2025-01-09,Cardiology,Cardiovascular,ACS & Heart Failure,22,27,30,0.9,MEDIUM,7.457888688166061,4,1,9,,5.482697338730314,2.3,0.9,0.4,0.23837814516218755,0.6745649642124522,43.94491900118771,56.05508099881229,50.95487323825103,3000.0,0.01,2,0.9820856979826172,0.08596314731018756,2,4,3,1,2,0,0
2025-01-09,Emergency,Trauma,ED High Acuity Mix,10,12,15,0.8,HIGH,8.902822397294996,4,9,5,156.75183660224553,2.906814252502149,3.1666666666666665,0.8,0.65,0.26425584113655903,0.5745956344100456,74.57118415383583,25.42881584616417,40.21366621695637,2700.0,0.03,4,0.9519311824918822,0.058508479811323434,1,1,3,1,2,0,0
2025-01-09,General Ward,General,Respiratory & Med-Surg,81,96,100,0.96,LOW,1.6736482865002231,4,4,49,,15.713267578343784,1.7,0.96,0.3,0.19162521437004615,0.7818900240777125,34.98470034139201,65.01529965860799,56.8411013854801,1080.0,0.002,3,0.8094432345496058,0.04537420373176339,9,14,3,1,2,0,0
2025-01-09,ICU,Respiratory,Critical Care Mix,15,18,20,0.9,CRITICAL,9.903766581539854,14,2,7,,3.611988012502338,2.125,0.9,1.05,0.22574925078139613,0.7119275504676077,92.03803037880566,7.961969621194342,52.69531147246471,8750.0,0.08,7,0.9286983164584786,0.07654055617026478,1,2,3,1,2,0,0
2025-01-09,Neurology,Neurological,Stroke & Seizure,22,27,28,0.9642857142857143,HIGH,6.852492399383671,10,1,11,,5.816930825908604,1.9166666666666667,0.9642857142857143,0.65,0.25291003590906974,0.7597498456805266,76.21728255349944,23.782717446500556,57.309896425653456,3600.0,0.03,7,0.9673808468830705,0.07387304897587155,2,4,3,1,2,0,0
2025-01-09,Oncology,Cancer,Radiation Therapy,20,24,25,0.96,MEDIUM,5.626128626547599,3,1,11,,4.864879722086856,1.75,0.96,0.4,0.23166093914699315,0.784,44.880907402554726,55.119092597445274,49.548784058290536,2640.0,0.01,1,0.8683685465482853,0.0735151594201897,2,3,3,1,2,0,0
2025-01-09,Orthopedics,Musculoskeletal,Spine Surgery,28,33,35,0.9428571428571428,MEDIUM,5.737391067659371,4,1,12,,6.723556675792554,2.230769230769231,0.9428571428571428,0.4,0.23184678192388117,0.7545594197586415,51.76578811611333,48.23421188388667,58.53675990920597,2160.0,0.01,1,0.9256864730106491,0.0747884366428963,3,4,3,1,2,0,0
2025-01-10,Cardiology,Cardiovascular,Arrhythmia Management,24,29,30,0.9666666666666667,MEDIUM,8.851391631318451,4,1,12,,6.07193693866158,1.9230769230769231,0.9666666666666667,0.4,0.2428774775464632,0.784,45.54578328774461,54.45421671225539,46.77640169273799,3000.0,0.01,6,0.9580959493217833,0.07112655762383019,2,4,4,1,2,0,0
2025-01-10,Emergency,Trauma,ED High Acuity Mix,11,13,15,0.8666666666666667,LOW,5.037539944257899,0,8,5,169.86476828897767,2.40932064294668,3.1666666666666665,0.8666666666666667,0.3,0.20077672024555668,0.6528429446903742,27.86296028775262,72.13703971224737,43.43196355080022,1350.0,0.002,4,0.9865219281634542,0.08450519101865993,1,1,4,1,2,0,0
2025-01-10,General Ward,General,Respiratory & Med-Surg,72,85,100,0.85,MEDIUM,6.91577236903812,12,3,40,,15.867061959401045,1.829268292682927,0.85,0.4,0.21735701314248007,0.6140910520791045,44.914039147273044,55.085960852726956,59.52526176326549,1440.0,0.01,4,1.0,0.04635218584439529,7,12,4,1,2,0,0
2025-01-10,ICU,Respiratory,Critical Care Mix,16,19,20,0.95,CRITICAL,12.790428164011551,15,2,9,,4.588683344860373,1.8,0.95,1.05,0.269922549697669,0.784,94.83834874537443,5.161651254625568,60.54076745195053,8750.0,0.08,3,0.970494748052483,0.08409771312459624,1,2,4,1,2,0,0
2025-01-10,Neurology,Neurological,Stroke & Seizure,19,23,28,0.8214285714285714,MEDIUM,6.869155523435273,3,0,7,,3.445173493786363,2.375,0.8214285714285714,0.4,0.17225867468931816,0.5785759447933244,42.48617491184698,57.51382508815302,61.643559486895555,2400.0,0.01,4,0.9104544254305829,0.06576165323978189,1,3,4,1,2,0,0
2025-01-10,Oncology,Cancer,Chemo & Complications,20,24,25,0.96,HIGH,6.126971965006526,9,1,12,,5.229488259258596,1.6153846153846154,0.96,0.65,0.24902325044088552,0.784,68.29277421100151,31.707225788998485,67.83414056062118,3960.0,0.03,5,0.8886290557811262,0.06404610757068753,2,3,4,1,2,0,0
2025-01-10,Orthopedics,Musculoskeletal,Fractures & Replacements,27,32,35,0.9142857142857143,MEDIUM,5.91606771240876,4,1,12,,6.016007116724521,2.1538461538461537,0.9142857142857143,0.4,0.21485739702587575,0.7151574211759563,47.059565868427235,52.940434131572765,58.79187738375823,2160.0,0.01,1,0.950810790848403,0.06004866957666379,3,4,4,1,2,0,0
2025-01-11,Cardiology,Cardiovascular,Arrhythmia Management,22,26,30,0.8666666666666667,LOW,3.8501220332375383,1,1,11,,5.649935158817199,1.9166666666666667,0.8666666666666667,0.3,0.24564935473118255,0.6374350224115966,23.367304919451204,76.6326950805488,66.72642521072342,2250.0,0.002,3,0.8112838217956677,0.07067819944122303,2,3,5,1,2,1,0
2025-01-11,Emergency,Trauma,ED High Acuity Mix,10,12,15,0.8,LOW,5.4653897555190945,0,6,5,118.56236799159313,3.1320662664057752,2.6666666666666665,0.8,0.3,0.28473329694597954,0.5599543462334287,39.748662978006145,60.251337021993855,48.38253740238196,1350.0,0.002,3,0.741589735032006,0.058569700026703655,1,0,5,1,2,1,0
2025-01-11,General Ward,General,Infectious Diseases,73,86,100,0.86,MEDIUM,6.749622723144332,12,3,32,,17.364967702759674,2.303030303030303,0.86,0.4,0.23466172571296856,0.6350844870157824,51.66821765725299,48.33178234274701,54.78236395219696,1440.0,0.01,6,0.9171527188139467,0.07219634186911854,7,12,5,1,2,1,0
2025-01-11,ICU,Respiratory,Critical Care Mix,15,18,20,0.9,CRITICAL,13.324123712430925,14,2,6,,3.328233764203616,2.4285714285714284,0.9,1.05,0.208014610262726,0.7025894815719509,88.18648198230011,11.813518017699892,47.70801209194452,8750.0,0.08,3,0.8975986430099885,0.04559831802816166,1,2,5,1,2,1,0
2025-01-11,Neurology,Neurological,Movement Disorders,20,24,28,0.8571428571428571,HIGH,10.01020432459931,9,1,9,,4.832396740662931,2.1,0.8571428571428571,0.65,0.2301141305077586,0.6373676269775637,74.51586981303295,25.48413018696705,53.7515596821468,3600.0,0.03,6,1.0,0.07411289469438884,2,3,5,1,2,1,0
2025-01-11,Oncology,Cancer,Chemo & Complications,16,19,25,0.76,MEDIUM,6.648118666456002,2,0,7,,4.174237503328993,2.0,0.76,0.4,0.24554338254876432,0.5088362881001544,44.73370639677502,55.26629360322498,68.40869142217096,2640.0,0.01,6,0.9511699719458176,0.07225088820193672,1,0,5,1,2,1,0
2025-01-11,Orthopedics,Musculoskeletal,Fractures & Replacements,25,30,35,0.8571428571428571,CRITICAL,6.266834563225526,24,3,11,,6.308022086148532,2.3333333333333335,0.8571428571428571,1.05,0.24261623408263586,0.6291459769696736,91.42012096536897,8.579879034631034,58.01457775605973,4500.0,0.08,4,0.8574443211807349,0.06931405554480198,2,4,5,1,2,1,0
2025-01-12,Cardiology,Cardiovascular,Arrhythmia Management,24,29,30,0.9666666666666667,HIGH,8.514276260187943,11,1,12,,6.7354975512954915,1.9230769230769231,0.9666666666666667,0.65,0.26941990205181965,0.784,77.58829510234561,22.41170489765439,54.77128093423267,4500.0,0.03,3,0.9273603914684801,0.0667745852782886,2,4,6,1,2,1,0
