date,occupied_beds,total_beds,occupancy_rate
2025-03-03,198.0,253.0,0.7826087
2025-03-04,213.0,253.0,0.84189725
2025-03-05,200.0,253.0,0.7905138
2025-03-06,196.0,253.0,0.77470356
2025-03-07,201.0,253.0,0.7944664
2025-03-08,191.0,253.0,0.7549407
2025-03-09,190.0,253.0,0.7509881
2025-03-10,216.0,253.0,0.85375494
2025-03-11,204.0,253.0,0.8063241
2025-03-12,204.0,253.0,0.8063241
2025-03-13,203.0,253.0,0.80237156
2025-03-14,207.0,253.0,0.8181818
2025-03-15,201.0,253.0,0.7944664
2025-03-16,199.0,253.0,0.78656125
2025-03-17,203.0,253.0,0.80237156
2025-03-18,199.0,253.0,0.78656125
2025-03-19,206.0,253.0,0.81422925
2025-03-20,190.0,253.0,0.7509881
2025-03-21,196.0,253.0,0.77470356
2025-03-22,204.0,253.0,0.8063241
2025-03-23,189.0,253.0,0.74703556
2025-03-24,204.0,253.0,0.8063241
2025-03-25,193.0,253.0,0.7628459
2025-03-26,205.0,253.0,0.8102767
2025-03-27,194.0,253.0,0.76679844
2025-03-28,197.0,253.0,0.7786561
2025-03-29,182.0,253.0,0.71936756
2025-03-30,198.0,253.0,0.7826087
2025-03-31,198.0,253.0,0.7826087
2025-04-01,215.0,253.0,0.8498024
2025-04-02,192.0,253.0,0.75889325
2025-04-03,204.0,253.0,0.8063241
2025-04-04,193.0,253.0,0.7628459
2025-04-05,194.0,253.0,0.76679844
2025-04-06,187.0,253.0,0.73913044
2025-04-07,214.0,253.0,0.8458498
2025-04-08,211.0,253.0,0.8339921
2025-04-09,212.0,253.0,0.8379447
2025-04-10,204.0,253.0,0.8063241
2025-04-11,207.0,253.0,0.8181818
2025-04-12,203.0,253.0,0.80237156
2025-04-13,200.0,253.0,0.7905138
2025-04-14,196.0,253.0,0.77470356
2025-04-15,213.0,253.0,0.84189725
2025-04-16,199.0,253.0,0.78656125
2025-04-17,191.0,253.0,0.7549407
2025-04-18,194.0,253.0,0.76679844
2025-04-19,203.0,253.0,0.80237156
2025-04-20,196.0,253.0,0.77470356
2025-04-21,204.0,253.0,0.8063241
2025-04-22,208.0,253.0,0.8221344
2025-04-23,200.0,253.0,0.7905138
2025-04-24,213.0,253.0,0.84189725
2025-04-25,206.0,253.0,0.81422925
2025-04-26,190.0,253.0,0.7509881
2025-04-27,199.0,253.0,0.78656125
2025-04-28,197.0,253.0,0.7786561
2025-04-29,198.0,253.0,0.7826087
2025-04-30,200.0,253.0,0.7905138
2025-05-01,216.0,253.0,0.85375494
2025-05-02,204.0,253.0,0.8063241
2025-05-03,188.0,253.0,0.743083
2025-05-04,185.0,253.0,0.7312253
2025-05-05,194.0,253.0,0.76679844
2025-05-06,195.0,253.0,0.770751
2025-05-07,192.0,253.0,0.75889325
2025-05-08,213.0,253.0,0.84189725
2025-05-09,207.0,253.0,0.8181818
2025-05-10,193.0,253.0,0.7628459
2025-05-11,192.0,253.0,0.75889325
2025-05-12,198.0,253.0,0.7826087
2025-05-13,208.0,253.0,0.8221344
2025-05-14,192.0,253.0,0.75889325
2025-05-15,190.0,253.0,0.7509881
2025-05-16,205.0,253.0,0.8102767
2025-05-17,193.0,253.0,0.7628459
2025-05-18,193.0,253.0,0.7628459
2025-05-19,200.0,253.0,0.7905138
2025-05-20,196.0,253.0,0.77470356
2025-05-21,202.0,253.0,0.798419
2025-05-22,212.0,253.0,0.8379447
2025-05-23,199.0,253.0,0.78656125
2025-05-24,185.0,253.0,0.7312253
2025-05-25,183.0,253.0,0.7233202
2025-05-26,200.0,253.0,0.7905138
2025-05-27,200.0,253.0,0.7905138
2025-05-28,202.0,253.0,0.798419
2025-05-29,204.0,253.0,0.8063241
2025-05-30,197.0,253.0,0.7786561
2025-05-31,205.0,253.0,0.8102767
2025-06-01,194.0,253.0,0.76679844
2025-06-02,178.0,253.0,0.7035573
2025-06-03,195.0,253.0,0.770751
2025-06-04,191.0,253.0,0.7549407
2025-06-05,191.0,253.0,0.7549407
2025-06-06,188.0,253.0,0.743083
2025-06-07,192.0,253.0,0.75889325
2025-06-08,178.0,253.0,0.7035573
2025-06-09,189.0,253.0,0.74703556
2025-06-10,187.0,253.0,0.73913044
2025-06-11,187.0,253.0,0.73913044
2025-06-12,167.0,253.0,0.66007906
2025-06-13,190.0,253.0,0.7509881
2025-06-14,175.0,253.0,0.6916996
2025-06-15,202.0,253.0,0.798419
2025-06-16,184.0,253.0,0.72727275
2025-06-17,192.0,253.0,0.75889325
2025-06-18,187.0,253.0,0.73913044
2025-06-19,179.0,253.0,0.7075099
2025-06-20,182.0,253.0,0.71936756
2025-06-21,182.0,253.0,0.71936756
2025-06-22,186.0,253.0,0.7351779
2025-06-23,171.0,253.0,0.6758893
2025-06-24,178.0,253.0,0.7035573
2025-06-25,196.0,253.0,0.77470356
2025-06-26,198.0,253.0,0.7826087
2025-06-27,192.0,253.0,0.75889325
2025-06-28,180.0,253.0,0.71146244
2025-06-29,191.0,253.0,0.7549407
2025-06-30,194.0,253.0,0.76679844
2025-07-01,189.0,253.0,0.74703556
2025-07-02,184.0,253.0,0.72727275
2025-07-03,180.0,253.0,0.71146244
2025-07-04,195.0,253.0,0.770751
2025-07-05,172.0,253.0,0.6798419
2025-07-06,186.0,253.0,0.7351779
2025-07-07,190.0,253.0,0.7509881
2025-07-08,190.0,253.0,0.7509881
2025-07-09,199.0,253.0,0.78656125
2025-07-10,202.0,253.0,0.798419
2025-07-11,182.0,253.0,0.71936756
2025-07-12,181.0,253.0,0.715415
2025-07-13,192.0,253.0,0.75889325
2025-07-14,198.0,253.0,0.7826087
2025-07-15,193.0,253.0,0.7628459
2025-07-16,183.0,253.0,0.7233202
2025-07-17,198.0,253.0,0.7826087
2025-07-18,191.0,253.0,0.7549407
2025-07-19,188.0,253.0,0.743083
2025-07-20,182.0,253.0,0.71936756
2025-07-21,204.0,253.0,0.8063241
2025-07-22,183.0,253.0,0.7233202
2025-07-23,198.0,253.0,0.7826087
2025-07-24,183.0,253.0,0.7233202
2025-07-25,195.0,253.0,0.770751
2025-07-26,167.0,253.0,0.66007906
2025-07-27,190.0,253.0,0.7509881
2025-07-28,196.0,253.0,0.77470356
2025-07-29,196.0,253.0,0.77470356
2025-07-30,197.0,253.0,0.7786561
2025-07-31,188.0,253.0,0.743083
2025-08-01,184.0,253.0,0.72727275
2025-08-02,161.0,253.0,0.6363636
2025-08-03,193.0,253.0,0.7628459
2025-08-04,187.0,253.0,0.73913044
2025-08-05,186.0,253.0,0.7351779
2025-08-06,200.0,253.0,0.7905138
2025-08-07,188.0,253.0,0.743083
2025-08-08,208.0,253.0,0.8221344
2025-08-09,182.0,253.0,0.71936756
2025-08-10,187.0,253.0,0.73913044
2025-08-11,191.0,253.0,0.7549407
2025-08-12,186.0,253.0,0.7351779
2025-08-13,183.0,253.0,0.7233202
2025-08-14,189.0,253.0,0.74703556
2025-08-15,195.0,253.0,0.770751
2025-08-16,169.0,253.0,0.6679842
2025-08-17,177.0,253.0,0.69960475
2025-08-18,186.0,253.0,0.7351779
2025-08-19,184.0,253.0,0.72727275
2025-08-20,196.0,253.0,0.77470356
2025-08-21,189.0,253.0,0.74703556
2025-08-22,191.0,253.0,0.7549407
2025-08-23,194.0,253.0,0.76679844
2025-08-24,181.0,253.0,0.715415
2025-08-25,191.0,253.0,0.7549407
2025-08-26,208.0,253.0,0.8221344
2025-08-27,195.0,253.0,0.770751
2025-08-28,180.0,253.0,0.71146244
2025-08-29,184.0,253.0,0.72727275
2025-08-30,182.0,253.0,0.71936756
2025-08-31,182.0,253.0,0.71936756
2025-09-01,205.0,253.0,0.8102767
2025-09-02,190.0,253.0,0.7509881
2025-09-03,205.0,253.0,0.8102767
2025-09-04,204.0,253.0,0.8063241
2025-09-05,198.0,253.0,0.7826087
2025-09-06,195.0,253.0,0.770751
2025-09-07,189.0,253.0,0.74703556
2025-09-08,194.0,253.0,0.76679844
2025-09-09,197.0,253.0,0.7786561
2025-09-10,213.0,253.0,0.84189725
2025-09-11,199.0,253.0,0.78656125
2025-09-12,205.0,253.0,0.8102767
2025-09-13,187.0,253.0,0.73913044
2025-09-14,197.0,253.0,0.7786561
2025-09-15,200.0,253.0,0.7905138
2025-09-16,188.0,253.0,0.743083
2025-09-17,217.0,253.0,0.8577075
2025-09-18,205.0,253.0,0.8102767
2025-09-19,217.0,253.0,0.8577075
2025-09-20,189.0,253.0,0.74703556
2025-09-21,203.0,253.0,0.80237156
2025-09-22,192.0,253.0,0.75889325
2025-09-23,197.0,253.0,0.7786561
2025-09-24,195.0,253.0,0.770751
2025-09-25,186.0,253.0,0.7351779
2025-09-26,210.0,253.0,0.8300395
2025-09-27,170.0,253.0,0.67193675
2025-09-28,193.0,253.0,0.7628459
2025-09-29,191.0,253.0,0.7549407
2025-09-30,207.0,253.0,0.8181818
2025-10-01,188.0,253.0,0.743083
2025-10-02,212.0,253.0,0.8379447
2025-10-03,208.0,253.0,0.8221344
2025-10-04,199.0,253.0,0.78656125
2025-10-05,194.0,253.0,0.76679844
2025-10-06,207.0,253.0,0.8181818
2025-10-07,200.0,253.0,0.7905138
2025-10-08,213.0,253.0,0.84189725
2025-10-09,215.0,253.0,0.8498024
2025-10-10,202.0,253.0,0.798419
2025-10-11,194.0,253.0,0.76679844
2025-10-12,185.0,253.0,0.7312253
2025-10-13,201.0,253.0,0.7944664
2025-10-14,191.0,253.0,0.7549407
2025-10-15,224.0,253.0,0.8853755
2025-10-16,205.0,253.0,0.8102767
2025-10-17,205.0,253.0,0.8102767
2025-10-18,193.0,253.0,0.7628459
2025-10-19,178.0,253.0,0.7035573
2025-10-20,212.0,253.0,0.8379447
2025-10-21,205.0,253.0,0.8102767
2025-10-22,187.0,253.0,0.73913044
2025-10-23,204.0,253.0,0.8063241
2025-10-24,212.0,253.0,0.8379447
2025-10-25,191.0,253.0,0.7549407
2025-10-26,189.0,253.0,0.74703556
2025-10-27,210.0,253.0,0.8300395
2025-10-28,202.0,253.0,0.798419
2025-10-29,196.0,253.0,0.77470356
2025-10-30,206.0,253.0,0.81422925
2025-10-31,186.0,253.0,0.7351779
2025-11-01,201.0,253.0,0.7944664
2025-11-02,179.0,253.0,0.7075099
2025-11-03,206.0,253.0,0.81422925
2025-11-04,196.0,253.0,0.77470356
2025-11-05,192.0,253.0,0.75889325
2025-11-06,212.0,253.0,0.8379447
2025-11-07,204.0,253.0,0.8063241
2025-11-08,188.0,253.0,0.743083
2025-11-09,197.0,253.0,0.7786561
2025-11-10,205.0,253.0,0.8102767
2025-11-11,194.0,253.0,0.76679844
2025-11-12,203.0,253.0,0.80237156
2025-11-13,194.0,253.0,0.76679844
2025-11-14,197.0,253.0,0.7786561
2025-11-15,191.0,253.0,0.7549407
2025-11-16,195.0,253.0,0.770751
2025-11-17,199.0,253.0,0.78656125
2025-11-18,210.0,253.0,0.8300395
2025-11-19,197.0,253.0,0.7786561
2025-11-20,186.0,253.0,0.7351779
2025-11-21,198.0,253.0,0.7826087
2025-11-22,210.0,253.0,0.8300395
2025-11-23,191.0,253.0,0.7549407
2025-11-24,196.0,253.0,0.77470356
2025-11-25,203.0,253.0,0.80237156
2025-11-26,209.0,253.0,0.82608694
2025-11-27,204.0,253.0,0.8063241
2025-11-28,207.0,253.0,0.8181818
2025-11-29,206.0,253.0,0.81422925
2025-11-30,203.0,253.0,0.80237156
2025-12-01,232.0,253.0,0.91699606
2025-12-02,232.0,253.0,0.91699606
2025-12-03,215.0,253.0,0.8498024
2025-12-04,218.0,253.0,0.86166006
2025-12-05,238.0,253.0,0.94071144
2025-12-06,199.0,253.0,0.78656125
2025-12-07,218.0,253.0,0.86166006
2025-12-08,206.0,253.0,0.81422925
2025-12-09,235.0,253.0,0.92885375
2025-12-10,218.0,253.0,0.86166006
2025-12-11,223.0,253.0,0.88142294
2025-12-12,234.0,253.0,0.9249012
2025-12-13,211.0,253.0,0.8339921
2025-12-14,218.0,253.0,0.86166006
2025-12-15,218.0,253.0,0.86166006
2025-12-16,236.0,253.0,0.9328063
2025-12-17,236.0,253.0,0.9328063
2025-12-18,234.0,253.0,0.9249012
2025-12-19,225.0,253.0,0.88932806
2025-12-20,228.0,253.0,0.90118575
2025-12-21,221.0,253.0,0.8735178
2025-12-22,237.0,253.0,0.9367589
2025-12-23,231.0,253.0,0.9130435
2025-12-24,238.0,253.0,0.94071144
2025-12-25,235.0,253.0,0.92885375
2025-12-26,209.0,253.0,0.82608694
2025-12-27,226.0,253.0,0.8932806
2025-12-28,208.0,253.0,0.8221344
2025-12-29,222.0,253.0,0.8774704
2025-12-30,237.0,253.0,0.9367589
2025-12-31,224.0,253.0,0.8853755
